"scenario","year","variable","value","units"
"ssp119",1906,"Tgav",0.0914715458445921,"degC"
"ssp119",1907,"Tgav",0.105655402579993,"degC"
"ssp119",1908,"Tgav",0.117944432161118,"degC"
"ssp119",1909,"Tgav",0.133099904694633,"degC"
"ssp119",1910,"Tgav",0.147889059647826,"degC"
"ssp119",1911,"Tgav",0.160912982450167,"degC"
"ssp119",1912,"Tgav",0.149921339389439,"degC"
"ssp119",1913,"Tgav",0.130290913474639,"degC"
"ssp119",1914,"Tgav",0.136686774340623,"degC"
"ssp119",1915,"Tgav",0.154106184200294,"degC"
"ssp119",1916,"Tgav",0.168624992622841,"degC"
"ssp119",1917,"Tgav",0.179863816939779,"degC"
"ssp119",1918,"Tgav",0.189903691598526,"degC"
"ssp119",1919,"Tgav",0.201671178590733,"degC"
"ssp119",1920,"Tgav",0.202579833220704,"degC"
"ssp119",1921,"Tgav",0.206234812040989,"degC"
"ssp119",1922,"Tgav",0.217141614216829,"degC"
"ssp119",1923,"Tgav",0.225466942557232,"degC"
"ssp119",1924,"Tgav",0.231631251379434,"degC"
"ssp119",1925,"Tgav",0.23742806593184,"degC"
"ssp119",1926,"Tgav",0.243539892993746,"degC"
"ssp119",1927,"Tgav",0.248044521314507,"degC"
"ssp119",1928,"Tgav",0.248383158498589,"degC"
"ssp119",1929,"Tgav",0.243611531545895,"degC"
"ssp119",1930,"Tgav",0.245234308056413,"degC"
"ssp119",1931,"Tgav",0.253943074383499,"degC"
"ssp119",1932,"Tgav",0.262628411311512,"degC"
"ssp119",1933,"Tgav",0.269484346506334,"degC"
"ssp119",1934,"Tgav",0.276785645351977,"degC"
"ssp119",1935,"Tgav",0.282324530913819,"degC"
"ssp119",1936,"Tgav",0.286886264640568,"degC"
"ssp119",1937,"Tgav",0.289475573521882,"degC"
"ssp119",1938,"Tgav",0.293528702203903,"degC"
"ssp119",1939,"Tgav",0.296266762314768,"degC"
"ssp119",1940,"Tgav",0.298631652082397,"degC"
"ssp119",1941,"Tgav",0.301483551320292,"degC"
"ssp119",1942,"Tgav",0.302166691937454,"degC"
"ssp119",1943,"Tgav",0.303166343651235,"degC"
"ssp119",1944,"Tgav",0.308133429316223,"degC"
"ssp119",1945,"Tgav",0.318501043889096,"degC"
"ssp119",1946,"Tgav",0.329311011985709,"degC"
"ssp119",1947,"Tgav",0.334426203918391,"degC"
"ssp119",1948,"Tgav",0.338222542017719,"degC"
"ssp119",1949,"Tgav",0.342900558115147,"degC"
"ssp119",1950,"Tgav",0.344968248618059,"degC"
"ssp119",1951,"Tgav",0.347726979290106,"degC"
"ssp119",1952,"Tgav",0.351110114822294,"degC"
"ssp119",1953,"Tgav",0.354919998319416,"degC"
"ssp119",1954,"Tgav",0.361031824651463,"degC"
"ssp119",1955,"Tgav",0.367465553936287,"degC"
"ssp119",1956,"Tgav",0.373703482683902,"degC"
"ssp119",1957,"Tgav",0.380701782039214,"degC"
"ssp119",1958,"Tgav",0.390160673248868,"degC"
"ssp119",1959,"Tgav",0.398844344226405,"degC"
"ssp119",1960,"Tgav",0.400874413172951,"degC"
"ssp119",1961,"Tgav",0.389511123700604,"degC"
"ssp119",1962,"Tgav",0.376612062901173,"degC"
"ssp119",1963,"Tgav",0.326757055125887,"degC"
"ssp119",1964,"Tgav",0.257161337976183,"degC"
"ssp119",1965,"Tgav",0.233321707985789,"degC"
"ssp119",1966,"Tgav",0.254140895779639,"degC"
"ssp119",1967,"Tgav",0.286230286718355,"degC"
"ssp119",1968,"Tgav",0.293901265516592,"degC"
"ssp119",1969,"Tgav",0.293048771828505,"degC"
"ssp119",1970,"Tgav",0.314149661338275,"degC"
"ssp119",1971,"Tgav",0.351185284549108,"degC"
"ssp119",1972,"Tgav",0.385558933574869,"degC"
"ssp119",1973,"Tgav",0.409733064679546,"degC"
"ssp119",1974,"Tgav",0.420344132630147,"degC"
"ssp119",1975,"Tgav",0.425348020596419,"degC"
"ssp119",1976,"Tgav",0.442206511417298,"degC"
"ssp119",1977,"Tgav",0.474390760075621,"degC"
"ssp119",1978,"Tgav",0.503419927820858,"degC"
"ssp119",1979,"Tgav",0.527878389226336,"degC"
"ssp119",1980,"Tgav",0.555673260441583,"degC"
"ssp119",1981,"Tgav",0.578257103775246,"degC"
"ssp119",1982,"Tgav",0.542310495220905,"degC"
"ssp119",1983,"Tgav",0.493168300558344,"degC"
"ssp119",1984,"Tgav",0.509547867248964,"degC"
"ssp119",1985,"Tgav",0.55784040236447,"degC"
"ssp119",1986,"Tgav",0.605187397373621,"degC"
"ssp119",1987,"Tgav",0.646472951823756,"degC"
"ssp119",1988,"Tgav",0.686936732519571,"degC"
"ssp119",1989,"Tgav",0.725303989535853,"degC"
"ssp119",1990,"Tgav",0.759917118973914,"degC"
"ssp119",1991,"Tgav",0.708367604775281,"degC"
"ssp119",1992,"Tgav",0.620263614880418,"degC"
"ssp119",1993,"Tgav",0.622856269074299,"degC"
"ssp119",1994,"Tgav",0.684082745250075,"degC"
"ssp119",1995,"Tgav",0.755953048484162,"degC"
"ssp119",1996,"Tgav",0.81952061543633,"degC"
"ssp119",1997,"Tgav",0.869047355684007,"degC"
"ssp119",1998,"Tgav",0.916030118629747,"degC"
"ssp119",1999,"Tgav",0.965252985348677,"degC"
"ssp119",2000,"Tgav",1.00965050532132,"degC"
"ssp119",2001,"Tgav",1.04879961333387,"degC"
"ssp119",2002,"Tgav",1.081233592708,"degC"
"ssp119",2003,"Tgav",1.10940024134909,"degC"
"ssp119",2004,"Tgav",1.13813674367587,"degC"
"ssp119",2005,"Tgav",1.16105594085932,"degC"
"ssp119",2006,"Tgav",1.17290312843621,"degC"
"ssp119",2007,"Tgav",1.18555464019293,"degC"
"ssp119",2008,"Tgav",1.20327167188108,"degC"
"ssp119",2009,"Tgav",1.2249233398176,"degC"
"ssp119",2010,"Tgav",1.24844460213658,"degC"
"ssp119",2011,"Tgav",1.27234001069046,"degC"
"ssp119",2012,"Tgav",1.29513828150265,"degC"
"ssp119",2013,"Tgav",1.31992480881991,"degC"
"ssp119",2014,"Tgav",1.34349233048425,"degC"
"ssp119",2015,"Tgav",1.37640026234021,"degC"
"ssp119",2016,"Tgav",1.40881985462015,"degC"
"ssp119",2017,"Tgav",1.43959538062115,"degC"
"ssp119",2018,"Tgav",1.46929953487413,"degC"
"ssp119",2019,"Tgav",1.49822676131918,"degC"
"ssp119",2020,"Tgav",1.52654426574782,"degC"
"ssp119",2021,"Tgav",1.55368457332725,"degC"
"ssp119",2022,"Tgav",1.57959367254681,"degC"
"ssp119",2023,"Tgav",1.60417914020855,"degC"
"ssp119",2024,"Tgav",1.62736978932282,"degC"
"ssp119",2025,"Tgav",1.649128216703,"degC"
"ssp119",2026,"Tgav",1.66943824838549,"degC"
"ssp119",2027,"Tgav",1.688298378373,"degC"
"ssp119",2028,"Tgav",1.70571783741624,"degC"
"ssp119",2029,"Tgav",1.72171403774834,"degC"
"ssp119",2030,"Tgav",1.73631082366016,"degC"
"ssp119",2031,"Tgav",1.74865068093839,"degC"
"ssp119",2032,"Tgav",1.7590387554088,"degC"
"ssp119",2033,"Tgav",1.76786518704467,"degC"
"ssp119",2034,"Tgav",1.77538179992536,"degC"
"ssp119",2035,"Tgav",1.78176748830318,"degC"
"ssp119",2036,"Tgav",1.78713032611167,"degC"
"ssp119",2037,"Tgav",1.79155755320105,"degC"
"ssp119",2038,"Tgav",1.79511626092093,"degC"
"ssp119",2039,"Tgav",1.79785752396361,"degC"
"ssp119",2040,"Tgav",1.79982222020669,"degC"
"ssp119",2041,"Tgav",1.80061316728285,"degC"
"ssp119",2042,"Tgav",1.80033808366083,"degC"
"ssp119",2043,"Tgav",1.7991347342318,"degC"
"ssp119",2044,"Tgav",1.7970913788503,"degC"
"ssp119",2045,"Tgav",1.79426853460159,"degC"
"ssp119",2046,"Tgav",1.790709910843,"degC"
"ssp119",2047,"Tgav",1.78644827300533,"degC"
"ssp119",2048,"Tgav",1.78150886246415,"degC"
"ssp119",2049,"Tgav",1.77591149928623,"degC"
"ssp119",2050,"Tgav",1.76967197285639,"degC"
"ssp119",2051,"Tgav",1.76299612465428,"degC"
"ssp119",2052,"Tgav",1.75593473430779,"degC"
"ssp119",2053,"Tgav",1.74854686738458,"degC"
"ssp119",2054,"Tgav",1.74088058397074,"degC"
"ssp119",2055,"Tgav",1.73298682424167,"degC"
"ssp119",2056,"Tgav",1.7248734287607,"degC"
"ssp119",2057,"Tgav",1.71655095379741,"degC"
"ssp119",2058,"Tgav",1.70803163808905,"degC"
"ssp119",2059,"Tgav",1.69932888310181,"degC"
"ssp119",2060,"Tgav",1.69045858000376,"degC"
"ssp119",2061,"Tgav",1.68162121230032,"degC"
"ssp119",2062,"Tgav",1.67280139138202,"degC"
"ssp119",2063,"Tgav",1.66397096664015,"degC"
"ssp119",2064,"Tgav",1.65511746416382,"degC"
"ssp119",2065,"Tgav",1.64623459942121,"degC"
"ssp119",2066,"Tgav",1.6373169033779,"degC"
"ssp119",2067,"Tgav",1.62835930815465,"degC"
"ssp119",2068,"Tgav",1.61935864467803,"degC"
"ssp119",2069,"Tgav",1.61031311563721,"degC"
"ssp119",2070,"Tgav",1.60122052355461,"degC"
"ssp119",2071,"Tgav",1.59217909209065,"degC"
"ssp119",2072,"Tgav",1.58316588838633,"degC"
"ssp119",2073,"Tgav",1.57415306598746,"degC"
"ssp119",2074,"Tgav",1.56512353904772,"degC"
"ssp119",2075,"Tgav",1.55606535575724,"degC"
"ssp119",2076,"Tgav",1.54696977015891,"degC"
"ssp119",2077,"Tgav",1.53783037885804,"degC"
"ssp119",2078,"Tgav",1.52864221927352,"degC"
"ssp119",2079,"Tgav",1.51940105519782,"degC"
"ssp119",2080,"Tgav",1.51010318682069,"degC"
"ssp119",2081,"Tgav",1.50075521374911,"degC"
"ssp119",2082,"Tgav",1.4913586049654,"degC"
"ssp119",2083,"Tgav",1.48191097858566,"degC"
"ssp119",2084,"Tgav",1.47240940261224,"degC"
"ssp119",2085,"Tgav",1.46285081337533,"degC"
